num_caracteres,num_palavras,num_paragrafos,tamanho_medio_paragrafos,palavras_unicas,repeticao_palavras,tamanho_medio_palavras,erros_ortograficos,erros_gramaticais,erros_concordancia,nota
1243,200,4,310.0,143,1.3986013986013985,5.22,3,3,0,1.0
2253,353,4,562.5,217,1.6267281105990783,5.379603399433428,13,6,0,1.0
2179,376,3,725.6666666666666,208,1.8076923076923077,4.795212765957447,7,6,0,0.5
1014,166,3,337.3333333333333,122,1.360655737704918,5.108433734939759,5,4,0,1.0
1205,187,4,300.5,138,1.355072463768116,5.449197860962567,4,7,0,1.0
1676,269,4,418.25,169,1.5917159763313609,5.230483271375465,7,2,0,1.5
1491,229,4,372.0,163,1.4049079754601228,5.506550218340611,9,5,0,0.5
1747,277,4,436.0,175,1.582857142857143,5.303249097472924,2,3,0,1.0
1458,247,4,363.75,147,1.6802721088435375,4.850202429149798,5,21,0,0.0
1453,235,4,362.5,139,1.6906474820143884,5.174468085106383,3,5,0,1.0
907,154,3,301.6666666666667,93,1.6559139784946237,4.896103896103896,5,5,0,0.0
1330,223,4,331.75,153,1.457516339869281,4.955156950672646,2,5,0,1.5
1388,225,5,276.8,158,1.4240506329113924,5.164444444444444,4,4,0,1.0
762,129,4,189.75,88,1.4659090909090908,4.9147286821705425,4,8,0,0.0
1253,200,4,312.5,127,1.5748031496062993,5.26,5,5,0,1.0
1765,291,4,440.5,182,1.598901098901099,5.0687285223367695,4,8,0,1.5
2473,394,5,493.8,222,1.7747747747747749,5.279187817258883,8,10,0,1.5
1884,317,4,470.25,197,1.6091370558375635,4.943217665615142,3,5,0,0.5
1251,192,3,416.3333333333333,139,1.381294964028777,5.520833333333333,4,3,0,0.0
1710,264,6,284.1666666666667,187,1.411764705882353,5.481060606060606,6,5,0,0.5
735,114,4,183.0,91,1.2527472527472527,5.456140350877193,1,3,0,0.5
1267,212,5,252.6,141,1.50354609929078,4.981132075471698,5,5,0,0.5
1589,266,5,317.0,162,1.6419753086419753,4.973684210526316,2,2,0,1.0
